Date,EUR Curncy,DXY Curncy,GOLDS Comdty,USGG2YR Index,USGG5YR Index,USGG10YR Index,USGG30YR Index,GTEUR10Y Govt,GTEUR30Y Govt,CPI YOY Index,EACPI Index,FEDL01 Index,ECBRON Index,GDP CYOY Index,EHGDEUY Index,GOLDS Comdty,SPX Index,SX5E Index,UKX Index,CAC Index,DAX Index,Return
1/1/1996,1.3392,84.76,387.1,5.15,5.374,5.57,5.95,6.031,6.804,2.5,70.85,4.73,2.19,2.2,2.5,387.1,615.93,1506.82,3689.3,1871.97,2260.69,-0.000224014
1/2/1996,1.3389,84.69,391.25,5.175,5.388,5.591,5.962,5.974,6.761,2.5,70.85,6.06,2.19,2.2,2.5,391.25,620.73,1526.58,3687.9,1908.38,2284.86,-0.003510344
1/3/1996,1.3342,85.11,395.3,5.15,5.356,5.574,5.957,5.987,6.773,2.5,70.85,6.93,2.19,2.2,2.5,395.3,621.32,1544.07,3715.6,1942.96,2329.22,-0.010043472
1/4/1996,1.3208,85.22,394,5.191,5.41,5.646,6.032,5.965,6.73,2.5,70.85,5.69,2.19,2.2,2.5,394,617.7,1535.23,3714.1,1931.21,2324.32,0.010675348
1/5/1996,1.3349,85.06,396.3,5.174,5.413,5.673,6.044,5.99,6.771,2.5,70.85,5.46,2.19,2.2,2.5,396.3,616.71,1527.9,3704.5,1917.72,2331.88,-0.001423328
1/8/1996,1.333,85.03,396.95,5.191,5.417,5.681,6.043,5.99,6.767,2.5,70.85,6.01,2.19,2.2,2.5,396.95,618.46,1526.41,3720.6,1916.56,2323.48,-0.001350338
1/9/1996,1.3312,85.07,396.3,5.216,5.46,5.744,6.112,5.959,6.733,2.5,70.85,5.28,2.19,2.2,2.5,396.3,609.45,1530.44,3700.3,1916.29,2349.66,0.002929688
1/10/1996,1.3351,84.91,399.8,5.241,5.526,5.817,6.182,5.945,6.725,2.5,70.85,5.35,2.19,2.2,2.5,399.8,598.48,1523.43,3671.5,1910.11,2338.19,0
1/11/1996,1.3351,85.13,399,5.224,5.485,5.775,6.149,5.941,6.724,2.5,70.85,5.52,2.19,2.2,2.5,399,602.69,1513.85,3654.9,1897.85,2329.51,-0.001423114
1/12/1996,1.3332,85.06,396.3,5.164,5.431,5.737,6.147,5.903,6.694,2.5,70.85,5.5,2.19,2.2,2.5,396.3,601.81,1535.02,3657.3,1907.59,2356.45,-0.003075308
