,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Today_Return,Predict_Return,SMA,EMA,RSI,MACD,ROC,Bollinger_Bands_lower,Bollinger_Bands_upper,CCI
0,3/12/1980,1.4436,1.4436,1.4436,1.4436,0.0014000000000000679,-0.009500000000000064,1.45617,1.4851745439943553,16.630669546436167,-0.01510715020223441,0.0009707391485231368,1.4344579237858934,1.5099820762141067,-113.33755742119479
1,3/13/1980,1.4341,1.4341,1.4341,1.4341,-0.009500000000000064,-0.012199999999999989,1.4515800000000003,1.4825221845885665,17.22595078299757,-0.01567838888329165,-0.006580770296481064,1.4300769542314606,1.5076630457685396,-133.99102102160026
2,3/14/1980,1.4219,1.4219,1.4219,1.4219,-0.012199999999999989,-0.02839999999999998,1.4468800000000002,1.4806725108573784,15.15748031496048,-0.016356716176171293,-0.008507077609650644,1.4235039786234465,1.5067260213765539,-157.93513019643737
3,3/17/1980,1.3935,1.3935,1.3935,1.3935,-0.02839999999999998,-0.00019999999999997797,1.43995,1.4764421858799688,10.239361702127567,-0.021437951334014826,-0.019973275195161393,1.4103493668855185,1.509660633114482,-221.0019107751097
4,3/18/1980,1.3933,1.3933,1.3933,1.3933,-0.00019999999999997797,0.0025999999999999357,1.4334,1.4738987937092043,14.195183776933405,-0.024097438106578606,-0.00014352350197343236,1.3996454087895471,1.510704591210453,-185.60875923356696
5,3/19/1980,1.3959,1.3959,1.3959,1.3959,0.0025999999999999357,0.0049000000000001265,1.4270299999999998,1.4704611797533769,19.151846785225686,-0.02613953011724157,0.00186607335103706,1.3917760369688406,1.5090639630311595,-154.71494650813028
6,3/20/1980,1.4008,1.4008,1.4008,1.4008,0.0049000000000001265,-0.007800000000000029,1.4220099999999998,1.4673911208077122,23.20730117340308,-0.026103922773440313,0.003510280106024878,1.3865029450220636,1.5053870549779365,-123.20981420958887
7,3/21/1980,1.393,1.393,1.393,1.393,-0.007800000000000029,-0.007400000000000073,1.41623,1.464500881790503,22.90862290862316,-0.027024627091164044,-0.0055682467161622135,1.3801620246382529,1.502897975361747,-125.26618742175769
8,3/24/1980,1.3856,1.3856,1.3856,1.3856,-0.007400000000000073,-0.0038000000000000256,1.41039,1.4605543446665656,21.368547418967793,-0.027275871027804266,-0.0053122756640345105,1.3734362496181136,1.5002737503818864,-123.44355868114933
9,3/25/1980,1.3818,1.3818,1.3818,1.3818,-0.0038000000000000256,0.0027000000000001467,1.40435,1.4578312468063064,27.472527472527588,-0.02772062965793909,-0.002742494226327963,1.367363785504642,1.496616214495358,-115.30509097592399
10,3/26/1980,1.3845,1.3845,1.3845,1.3845,0.0027000000000001467,-0.018199999999999994,1.3984400000000001,1.4549555116374318,25.436408977556468,-0.027744363506379877,0.0019539730785932455,1.363174368473404,1.4914356315265958,-96.56697141116813
11,3/27/1980,1.3663,1.3663,1.3663,1.3663,-0.018199999999999994,-0.0042999999999999705,1.3916600000000001,1.4516005941775323,23.665893271462053,-0.028265049087350835,-0.013145539906103282,1.3570256473056659,1.4862143526943339,-122.95519203413889
12,3/28/1980,1.362,1.362,1.362,1.362,-0.0042999999999999705,-0.012800000000000145,1.38567,1.4476809478163233,32.850241545894136,-0.02901151273602598,-0.0031471858303447047,1.3505332058352526,1.4820167941647473,-118.2011215767406
13,3/31/1980,1.3492,1.3492,1.3492,1.3492,-0.012800000000000145,-0.01529999999999987,1.38124,1.4431830436698467,27.30923694779149,-0.0314774902178121,-0.00939794419970642,1.3423320532426264,1.4788579467573733,-131.7298459987018
14,4/1/1980,1.3339,1.3339,1.3339,1.3339,-0.01529999999999987,0.012399999999999967,1.3753,1.4392898017651021,27.650727650728342,-0.03682700044703302,-0.011340053364956915,1.3321315120623534,1.4765684879376466,-150.30936633240873
15,4/2/1980,1.3463,1.3463,1.3463,1.3463,0.012399999999999967,-0.005800000000000027,1.37034,1.4355213736013728,43.160473662719625,-0.03597230727411449,0.009296049179098858,1.326917395191145,1.4704526048088553,-116.80565465572595
16,4/3/1980,1.3405,1.3405,1.3405,1.3405,-0.005800000000000027,0.0040999999999999925,1.3643100000000001,1.431497387006898,43.87712743877142,-0.03532655210630686,-0.004308103691599218,1.3213392954643302,1.4649807045356698,-121.65877324708366
17,4/8/1980,1.3446,1.3446,1.3446,1.3446,0.0040999999999999925,0.03909999999999991,1.3594700000000002,1.427940817230985,38.945233265720205,-0.032048537902957364,0.003058560238716891,1.318189609533107,1.4575103904668927,-101.57350868952511
18,4/9/1980,1.3837,1.3837,1.3837,1.3837,0.03909999999999991,-0.0012999999999998568,1.3592799999999998,1.4260164643559585,56.37207503384259,-0.02810299739220734,0.02907928008329608,1.3201118271791317,1.4495581728208684,-2.9601617004632157
19,4/10/1980,1.3824,1.3824,1.3824,1.3824,-0.0012999999999998568,0.008199999999999985,1.35934,1.4244007242063565,65.83777383066904,-0.024976193635222632,-0.0009395100093949967,1.3227149238965483,1.4409750761034517,1.6071118318175173
20,4/11/1980,1.3906,1.3906,1.3906,1.3906,0.008199999999999985,0.006399999999999961,1.35995,1.4225204789311205,66.87631027253671,-0.02174231841172003,0.005931712962962952,1.3270330416395244,1.4313569583604755,35.92720056072298
21,4/14/1980,1.397,1.397,1.397,1.397,0.006399999999999961,-0.01770000000000005,1.3630200000000001,1.4211678979418405,61.471103327495626,-0.0163584006019315,0.004602329929526795,1.3307825344332405,1.4238974655667596,65.97979662382127
22,4/15/1980,1.3793,1.3793,1.3793,1.3793,-0.01770000000000005,0.020499999999999963,1.3647500000000001,1.4195801392671714,58.34199044255148,-0.017111035801798513,-0.01267000715819617,1.3333399677573567,1.4170800322426433,14.840079098709866
23,4/16/1980,1.3998,1.3998,1.3998,1.3998,0.020499999999999963,0.0039000000000000146,1.36981,1.419196815182139,64.64718460441911,-0.013283060933047208,0.014862611469585995,1.3330193356715836,1.4180306643284162,87.03446421368719
24,4/17/1980,1.4037,1.4037,1.4037,1.4037,0.0039000000000000146,0.00670000000000015,1.3767900000000002,1.419143823618611,62.36722306525039,-0.011543938452090785,0.0027861123017574045,1.3324419507946978,1.419648049205302,97.24920658643154
25,4/18/1980,1.4104,1.4104,1.4104,1.4104,0.00670000000000015,-0.0019000000000000128,1.3832,1.4185844498707787,57.207207207207325,-0.01037504712066406,0.004773099665170728,1.3314231985692486,1.4221168014307515,115.17714951110537
26,4/21/1980,1.4085,1.4085,1.4085,1.4085,-0.0019000000000000128,-0.005400000000000071,1.39,1.4177966135974605,66.98262243285947,-0.004469271973650324,-0.0013471355643789086,1.330877468734817,1.4234325312651832,105.88543294119647
27,4/22/1980,1.4031,1.4031,1.4031,1.4031,-0.005400000000000071,0.023199999999999887,1.3958499999999998,1.4176397032982555,58.16099268215086,-0.0019873765145748123,-0.003833865814696536,1.3304900349798732,1.424829965020127,84.42571267381265
28,4/23/1980,1.4263,1.4263,1.4263,1.4263,0.023199999999999887,0.006800000000000139,1.4001100000000002,1.417803433829784,57.947855340622226,0.005550251331993161,0.016534815765091502,1.3280326161990177,1.431357383800982,144.15849546846545
29,4/24/1980,1.4331,1.4331,1.4331,1.4331,0.006800000000000139,0.0026999999999999247,1.4051799999999999,1.418917436091708,57.44680851063821,0.013468713650144792,0.004767580452920241,1.3255835710369823,1.4389364289630178,143.58742621515577
30,4/25/1980,1.4358,1.4358,1.4358,1.4358,0.0026999999999999247,0.010299999999999976,1.4097,1.4196742068544295,56.06326889279427,0.014308094533395765,0.0018840276324052227,1.3235208117254622,1.4461291882745382,130.64650477349838
31,4/28/1980,1.4461,1.4461,1.4461,1.4461,0.010299999999999976,-0.0011999999999998678,1.41461,1.420155785789073,74.36026091319599,0.016526031631957983,0.007173701072572765,1.322657512895365,1.4549724871046357,137.62079507029944
32,4/29/1980,1.4449,1.4449,1.4449,1.4449,-0.0011999999999998678,-0.0022999999999999687,1.4211699999999998,1.4209502581837075,75.92067988668569,0.01943416412085175,-0.0008298181315260825,1.3237257194736596,1.4621942805263404,120.9848361323981
33,4/30/1980,1.4426,1.4426,1.4426,1.4426,-0.0022999999999999687,0.00039999999999995595,1.42545,1.4210145323648289,78.63924050632926,0.018233238158901433,-0.0015918056612914172,1.328232677285071,1.4670273227149289,106.90470813374361
34,5/1/1980,1.443,1.443,1.443,1.443,0.00039999999999995595,-0.01200000000000001,1.42938,1.422025536675183,76.27416520210905,0.021752872544248847,0.0002772771384999001,1.3375384890325963,1.468631510967404,100.93628104868561
35,5/2/1980,1.431,1.431,1.431,1.431,-0.01200000000000001,0.01849999999999996,1.4314399999999998,1.422282766980427,62.4235886371809,0.020473899791316086,-0.008316008316008323,1.3462008835142394,1.4684391164857609,63.51079522596185
36,5/6/1980,1.4495,1.4495,1.4495,1.4495,0.01849999999999996,0.0028999999999999027,1.43554,1.422132416741984,66.63078579117347,0.023899971131869036,0.012928022361984598,1.3572759967203663,1.468264003279634,103.12925552076956
37,5/7/1980,1.4524,1.4524,1.4524,1.4524,0.0028999999999999027,-0.005599999999999827,1.4404700000000001,1.4230217225733675,57.300275482093824,0.023950819954813962,0.0020006898930665074,1.3697032811676235,1.4666167188323767,102.28528752800543
38,5/8/1980,1.4468,1.4468,1.4468,1.4468,-0.005599999999999827,-0.010600000000000165,1.44252,1.4239542040410784,56.88598283612605,0.024019212142065705,-0.003855687138529212,1.374041443967055,1.4685885560329452,78.25826609652987
39,5/9/1980,1.4362,1.4362,1.4362,1.4362,-0.010600000000000165,0.011600000000000055,1.44283,1.4243126620626054,55.864949530107864,0.027356489793025407,-0.007326513685374733,1.3798769828227009,1.468133017177299,40.70970757110482
40,5/12/1980,1.4478,1.4478,1.4478,1.4478,0.011600000000000055,-0.0007999999999999119,1.4440300000000001,1.4254772726805416,56.84138869979581,0.025180215906233316,0.008076869516780431,1.3843841207718108,1.4693458792281893,74.67984161523893
41,5/13/1980,1.447,1.447,1.447,1.447,-0.0007999999999999119,0.0024999999999999467,1.4441199999999998,1.4248194801941216,57.152635181382614,0.024842686736525676,-0.0005525625086337284,1.3883488434272542,1.4703811565727458,67.36508360948518
42,5/14/1980,1.4495,1.4495,1.4495,1.4495,0.0024999999999999467,0.0,1.4445799999999998,1.4249620186570569,49.757449757449706,0.02432742660359799,0.0017277125086385256,1.3980493269986065,1.4677006730013937,75.19647198507249
43,5/15/1980,1.4495,1.4495,1.4495,1.4495,0.0,-0.0024999999999999467,1.44527,1.4253830956753009,49.477351916376286,0.017382794148051994,0.0,1.4033504139358224,1.467369586064178,71.69294732038588
44,5/16/1980,1.447,1.447,1.447,1.447,-0.0024999999999999467,-0.0032000000000000917,1.4456700000000002,1.4263390567655065,59.29018789144059,0.01603302639184867,-0.0017247326664366655,1.4086720712058551,1.4663779287941452,54.5166858457995
45,5/19/1980,1.4438,1.4438,1.4438,1.4438,-0.0032000000000000917,-0.0018000000000000238,1.44695,1.42586022660364,48.35039817974963,0.013620916685735729,-0.002211472011057423,1.4130787617563327,1.4653112382436677,30.568047926450884
46,5/20/1980,1.442,1.442,1.442,1.442,-0.0018000000000000238,0.011500000000000066,1.4462,1.4264660990556979,53.5104364326376,0.009838691725313042,-0.0012467100706469204,1.41887062728167,1.4628693727183297,9.441844919786686
47,5/21/1980,1.4535,1.4535,1.4535,1.4535,0.011500000000000066,0.00039999999999995595,1.44631,1.4266062175420582,62.86836935166983,0.014794748658507384,0.007975034674063845,1.4290666065473294,1.45771339345267,117.85964094194726
48,5/22/1980,1.4539,1.4539,1.4539,1.4539,0.00039999999999995595,0.006399999999999961,1.4470199999999998,1.4274330234102137,71.47766323024064,0.011827625584959645,0.00027519779841758235,1.4320727404531532,1.4574672595468474,119.98948613484184
49,5/23/1980,1.4603,1.4603,1.4603,1.4603,0.006399999999999961,0.012199999999999989,1.4494300000000002,1.4289113433189193,66.72012830793904,0.010580576637808203,0.004401953366806494,1.4329080334291757,1.4593519665708246,189.55253829175206
50,5/27/1980,1.4725,1.4725,1.4725,1.4725,0.012199999999999989,-0.004899999999999904,1.4519,1.4293353600996643,68.74999999999977,0.009267084458497221,0.008354447716222686,1.4312591597038642,1.4646708402961361,284.7278635255889
51,5/28/1980,1.4676,1.4676,1.4676,1.4676,-0.004899999999999904,-0.0013000000000000789,1.45396,1.429185284095676,66.304347826087,0.011649615118344947,-0.0033276740237690354,1.430308379674999,1.4677716203250013,183.56245673029477
